Study_ID,Species,subspecies,AUTHORS,TITLE,JOURNAL,YEAR,VOLUME,NUMBER,PAGES,PUBLISHER,ADDRESS,ISSN,DOI_OR_LINK,type
8,Canis latrans,NA,"Wegan, MT; Etter, DR; Belant, JL; Beyer, DE; Svoboda, NJ; Petroelje, TR",A Cable Neck-Restraint to Live-Capture Coyotes,Wildlife Society Bulletin,2014,38,1,160-164,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1938-5463,10.1002/wsb.396,Article
12,Canis lupus,familiaris,"Nakada, A., T. Fujuta, and H. Sato.",A case study of home range and habitat use in 3 free-ranging dogs: effects of past histories Journal of Ethology 14:139-143.,Journal Of Ethology,1996,14,2,139-143,JAPAN ETHOL SOC,"C/O DEPT ZOOL, FAC SCI KYOTO UNIV, SAKYO KYOTO 606, JAPAN",0289-0771,10.1007/BF02348871,Article
15,Lepilemur edwardsi,NA,"Warren, RD; Crompton, RH","A comparative study of the ranging behaviour, activity rhythms and sociality of Lepilemur edwardsi (Primates, Lepilemuridae) and Avahi occidentalis (Primates, Indriidae) at Ampijoroa, Madagascar",Journal Of Zoology,1997,243,2,397-415,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND OX2 6DP",0952-8369,10.1111/j.1469-7998.1997.tb02790.x,Article
22,Urocyon cinereoargenteus,NA,"Harrison, RL",A comparison of gray fox ecology between residential and undeveloped rural landscapes,Journal Of Wildlife Management,1997,61,1,112-122,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3802420,Article
27,Pan troglodytes,verus,"Vieira, WF; Kerry, C; Hockings, KJ","A comparison of methods to determine chimpanzee home-range size in a forest-farm mosaic at Madina in Cantanhez National Park, Guinea-Bissau",Primates,2019,60,4,355-365,SPRINGER JAPAN KK,"SHIROYAMA TRUST TOWER 5F, 4-3-1 TORANOMON, MINATO-KU, TOKYO, 105-6005",0032-8332,10.1007/s10329-019-00724-1,Article
28,Microtus pennsylvanicus,NA,"AMBROSE, HW",A COMPARISON OF MICROTUS PENNSYLVANICUS HOME RANGES AS DETERMINED BY ISOTOPE AND LIVE TRAP METHODS,American Midland Naturalist,1969,81,2,535-\&,AMER MIDLAND NATURALIST,"UNIV NOTRE DAME, BOX 369, ROOM 295 GLSC, NOTRE DAME, IN 46556",0003-0031,NA,Article
32,Leontopithecus caissara,NA,"Nascimento, ATA; Schmidlin, LAJ; Valladares-Padua, CB; Matushima, ER; Verdade, LM",A Comparison of the Home Range Sizes of Mainland and Island Populations of Black-Faced Lion Tamarins (Leontopithecus caissara) Using Different Spatial Analysis,American Journal Of Primatology,2011,73,11,1114-1126,WILEY-BLACKWELL,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0275-2565,10.1002/ajp.20977,Article
36,Ateles geoffroyi,NA,"Wentz, EA; Campbell, AF; Houston, R",A comparison of two methods to create tracks of moving objects: linear weighted distance and constrained random walk,International Journal Of Geographical Information Science,2003,17,7,623-645,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",1365-8816,10.1080/1365881031000135492,Article
59,Pseudocheirus occidentalis,NA,"JONES, BA; HOW, RA; KITCHENER, DJ","A FIELD-STUDY OF PSEUDOCHEIRUS-OCCIDENTALIS (MARSUPIALIA, PETAURIDAE) .2. POPULATION STUDIES",Wildlife Research,1994,21,2,189-201,C S I R O PUBLICATIONS,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR9940189,Article
99,Ursus thibetanus,NA,"Sakamoto, Y; Kunisaki, T; Sawaguchi, I; Aoi, T; Harashina, K; Deguchi, Y","A note on daily movement patterns of a female Asiatic black bear (Ursus thibetanus) in a suburban area of Iwate Prefecture, northeastern Japan",Mammal Study,2009,34,3,165-170,MAMMALOGICAL SOC JAPAN,"C/O NAKANISHI PRINTING CO, LTD, KAMIGYO-KU, KYOTO, 602-8048, JAPAN",1343-4152,10.3106/041.034.0306,Article
102,Halichoerus grypus,NA,"Baker, LL; Flemming, JEM; Jonsen, ID; Lidgard, DC; Iverson, SJ; Bowen, WD",A novel approach to quantifying the spatiotemporal behavior of instrumented grey seals used to sample the environment,Movement Ecology,2015,3,NA,NA,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",2051-3933,10.1186/s40462-015-0047-4,Article
113,Maxomys rajah,NA,"Nakagawa, M; Miguchi, H; Sato, K; Nakashizuka, T","A preliminary study of two sympatric maxomys rats in Sarawak, Malaysia: Spacing patterns and population dynamics",Raffles Bulletin Of Zoology,2007,55,2,381-387,"NATL UNIV SINGAPORE, SCHOOL BIOLOGICAL SCIENCES","DEPT ZOOLOGY, KENT RIDGE, SINGAPORE 0511, SINGAPORE",0217-2445,NA,Article
136,Erinaceus europaeus,NA,"Abensperg-Traun, M.","A study of home-range, movements and shelter use in adult and juvenile echidnas, Tachyglossus aculeatus (Monotremata: Tachyglossidae), in western Australian wheatbelt reserves Australian Mammalogy 14:13-21.",Australian Mammalogy,1991,14,1,13--21,CSIRO Publishing,NA,NA,https://www.publish.csiro.au/am/am12022,Article
147,Tamiasciurus douglasii,NA,"Ten Hwang, P; Lariviere, S","A test of interspecific effects of introduced Eastern Grey Squirrels, Sciurus carolinensis, on Douglas's squirrels, Tamiasciurus douglasii, in Vancouver, British Columbia",Canadian Field-Naturalist,2006,120,1,Oct/14,OTTAWA FIELD-NATURALISTS CLUB,"PO BOX 35069, WESTGATE PO, OTTAWA, ONTARIO K1Z 1A2, CANADA",0008-3550,NA,Article
151,Bradypus torquatus,NA,"Chiarello, AG; Chivers, DJ; Bassi, C; Amelia, M; Maciel, F; Moreira, LS; Bazzalo, M","A translocation experiment for the conservation of maned sloths, Bradypus torquatus (Xenarthra, Bradypodidae)",Biological Conservation,2004,118,4,421-430,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0006-3207,10.1016/j.biocon.2003.09.019,Article
161,Vulpes vulpes,NA,"Bino, G; Dolev, A; Yosha, D; Guter, A; King, R; Saltz, D; Kark, S",Abrupt spatial and numerical responses of overabundant foxes to a reduction in anthropogenic resources,Journal Of Applied Ecology,2010,47,6,1262-1271,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0021-8901,10.1111/j.1365-2664.2010.01882.x,Article
173,Pithecia pithecia,NA,"Vie, JC; Richard-Hansen, C; Fournier-Chambrillon, C","Abundance, use of space, and activity patterns of white-faced sakis (Pithecia pithecia) in French Guiana",American Journal Of Primatology,2001,55,4,203-221,WILEY-LISS,"DIV JOHN WILEY \& SONS INC, 605 THIRD AVE, NEW YORK, NY 10158-0012 USA",0275-2565,10.1002/ajp.1055,Article
196,Colobus angolensis,ruwenzorii,"Fashing, PJ; Mulindahabi, F; Gakima, JB; Masozera, M; Mununura, I; Plumptre, AJ; Nguyen, N","Activity and ranging patterns of Colobus angolensis ruwenzorii in Nyungwe Forest, Rwanda: Possible costs of large group size",International Journal Of Primatology,2007,28,3,529-550,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0164-0291,10.1007/s10764-006-9095-3,Article
202,Cebus kaapori,NA,"de Oliveira, SG; Alfaro, JWL; Veiga, LM","Activity Budget, Diet, and Habitat Use in the Critically Endangered Ka'apor Capuchin Monkey (Cebus kaapori) in Para State, Brazil: A Preliminary Comparison to Other Capuchin Monkeys",American Journal Of Primatology,2014,76,10,919-931,WILEY-BLACKWELL,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0275-2565,10.1002/ajp.22277,Article
203,Saimiri sciureus,NA,"Pinheiro, T; Ferrari, SF; Lopes, MA","Activity budget, diet, and use of space by two groups of squirrel monkeys (Saimiri sciureus) in eastern Amazonia",Primates,2013,54,3,301-308,SPRINGER JAPAN KK,"CHIYODA FIRST BLDG EAST, 3-8-1 NISHI-KANDA, CHIYODA-KU, TOKYO, 101-0065",0032-8332,10.1007/s10329-013-0351-9,Article
230,Ursus americanus,NA,"Amstrup, S.C., and J. Beecham.",Activity patterns of radio-collared black bears in Idaho Journal of Wildlife Management 40:340-348.,Journal Of Wildlife Management,1976,40,2,340-348,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3800435,Article
244,Herpestes ichneumon,NA,"DELIBES, M; BELTRAN, JF","ACTIVITY, DAILY MOVEMENTS AND HOME RANGE OF AN ICHNEUMON OR EGYPTIAN MONGOOSE (HERPESTES-ICHNEUMON) IN SOUTHERN SPAIN",Journal Of Zoology,1985,207,4,610-613,OXFORD UNIV PRESS UNITED KINGDOM,"WALTON ST JOURNALS DEPT, OXFORD, ENGLAND OX2 6DP",0952-8369,NA,Note
246,Octomys mimax,NA,"Ebensperger, LA; Sobrero, R; Campos, V; Giannoni, SM","Activity, range areas, and nesting patterns in the viscacha rat, Octomys mimax",Journal Of Arid Environments,2008,72,7,1174-1183,ACADEMIC PRESS LTD ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0140-1963,10.1016/j.jaridenv.2008.02.003,Article
286,Tursiops aduncus,NA,"O'Brien, O; Allen, SJ; Krutzen, M; Connor, RC","Alliance-specific habitat selection by male Indo-Pacific bottlenose dolphins in Shark Bay, Western Australia",Animal Behaviour,2020,164,NA,39-49,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0003-3472,10.1016/j.anbehav.2020.03.014,Article
295,Martes martes,NA,"Zalewski, A",Alternative strategies in the acquisition of home ranges by male pine martens in a high-density population,Acta Theriologica,2012,57,4,371-375,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",0001-7051,10.1007/s13364-012-0086-9,Article
317,Pongo pygmaeus,wurmbii,"Tarszisz, E; Tomlinson, S; Harrison, ME; Morrogh-Bernard, HC; Munn, AJ",An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Conservation Physiology,2018,6,1,coy013,Oxford University Press,NA,NA,10.1093/conphys/coy013,Article
337,Rhinoceros sondaicus,NA,"Hariyadi, ARS; Sajuthi, D; Astuti, DA; Alikodra, HS; Maheshwari, H",Analysis of nutritional quality and food digestibility in male Javan rhinoceros (Rhinoceros sondaicus) in Ujung Kulon National Park,Pachyderm,2015,NA,57,86-96,IUCN-SSC ASIAN ELEPHANT SPECIALIST GROUP,"C/O JAYANTHA JAYEWARDENE, BIODIVERSITY \& ELEPHANT CONSERVATION TRUST",1026-2881,NA,Article
346,Tamiasciurus hudsonicus,grahamensis,"Chen, HL; Koprowski, JL",Animal occurrence and space use change in the landscape of anthropogenic noise,Biological Conservation,2015,192,NA,315-322,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0006-3207,10.1016/j.biocon.2015.10.003,Article
350,Ursus thibetanus,NA,"Yamamoto, T; Tamatani, H; Tanaka, J; Yokoyama, S; Kamiike, K; Koyama, M; Seki, K; Kakefuda, S; Kato, Y; Izawa, N","Annual and seasonal home range characteristics of female Asiatic black bears in Karuizawa, Nagano Prefecture, Japan",Ursus,2012,23,2,218-225,INT ASSOC BEAR RESEARCH \& MANAGEMENT-IBA,"C/O TERRY WHITE, UNIV TENNESSEE, DEPT FORESTRY, WILDLIFE \& FISHERIES",1537-6176,10.2192/URSUS-D-12-00003.1,Article
351,Sus scrofa,NA,"Keuling, O; Stier, N; Roth, M",Annual and seasonal space use of different age classes of female wild boar Sus scrofa L.,European Journal Of Wildlife Research,2008,54,3,403-412,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",1612-4642,10.1007/s10344-007-0157-4,Article
356,Anomalurus derbianus,NA,"Julliot, C; Cajani, S; Gautier-Hion, A","Anomalures (Rodentia, Anomaluridae) in central Gabon: species composition, population densities and ecology",Mammalia,1998,62,1,Sep/21,MUSEUM NAT HIST NATURELLE,"55 RUE DE BUFFON, 75005 PARIS, FRANCE",0025-1461,10.1515/mamm.1998.62.1.9,Article
376,Bettongia penicillata,ogilbyi,"Bateman, A; Chambers, B; Pacioni, C; Rafferty, C; Jones, K; Bencini, R","Application of underpasses to expand nature reserves: responses of a critically endangered marsupial, the woylie, Bettongia penicillata",Hystrix-Italian Journal Of Mammalogy,2017,28,2,194-201,ASSOC TERIOLOGICA ITALIANA,"C/O GIOVANNI AMORI, CNR-ISE VIALE DELL UNIVERSITA 23, ROMA, I-00185",0394-1914,10.4404/hystrix-28.2-12255,Article
386,Vulpes lagopus,NA,"Eberhardt, L. E., W. C. Hanson, J. L. Bengtson, R. A. Garrott, and E. E. hanson.",Arctic fox home range characteristics in an oil-development area Journal of Wildlife Management 46:183-190.,Journal Of Wildlife Management,1982,46,1,183-190,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3808421,Article
396,Tayassu pecari,NA,"Keuroghlian, A; Eaton, DP; Longland, WS",Area use by white-lipped and collared peccaries (Tayassu pecari and Tayassu tajacu) in a tropical forest fragment,BIOLOGICAL CONSERVATION,2004,120,3,411-425,NA,NA,NA,10.1016/j.biocon.2004.03.016,Article
404,Antechinus godmani,NA,"Smith, GC; Means, K; Churchill, S","Aspects of the ecology of the Atherton antechinus (Antechinus godmani) living in sympatry with the rusty antechinus (A. adustus) in the Wet Tropics, Queensland - a trapping and radio-tracking study",Australian Mammalogy,2018,40,1,16-25,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC",0310-0049,10.1071/AM16050,Article
423,Sigmodon hispidus,NA,"CAMERON, GN; SPENCER, SR",ASSESSMENT OF SPACE-USE PATTERNS IN THE HISPID COTTON RAT (SIGMODON-HISPIDUS),Oecologia,1985,68,1,133-139,SPRINGER,"233 SPRING ST, NEW YORK, NY 10013 USA",0029-8549,10.1007/BF00379485,Article
432,Myotis septentrionalis,NA,"Silvis, A; Ford, WM; Britzke, ER; Johnson, JB","Association, roost use and simulated disruption of Myotis septentrionalis maternity colonies",Behavioural Processes,2014,103,NA,283-290,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0376-6357,10.1016/j.beproc.2014.01.016,Article
437,Nomascus concolor,NA,"Chen, Y; Ma, C; Yang, L; Guan, ZH; Jiang, XL; Fan, PF",Asymmetric competition between sympatric endangered primates affects their population recovery,Biological Conservation,2020,248,NA,NA,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0006-3207,10.1016/j.biocon.2020.108558,Article
446,Monodon monoceros,NA,"Heide-Jorgensen, MP; Dietz, R; Laidre, KL; Richard, P","Autumn movements, home ranges, and winter density of narwhals (Monodon monoceros) tagged in Tremblay Sound, Baffin Island",Polar Biology,2002,25,5,331-341,SPRINGER-VERLAG,"175 FIFTH AVE, NEW YORK, NY 10010 USA",0722-4060,10.1007/s00300-001-0347-6,Article
472,Dermanura cinerea,NA,"Bernard, E. & Fenton, M.B.","Bat mobility and roosts in a fragmented landscape in central Amazonia, Brazil Biotropica, 35, 262-277.",Biotropica,2003,35,2,262-277,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0006-3606,10.1111/j.1744-7429.2003.tb00285.x,Article
479,Castor canadensis,NA,"Wheatley, M","Beaver, Castor canadensis, home range size and patterns of use in the taiga of southeastern Manitoba .2. Sex, age, and family status",CANADIAN FIELD-NATURALIST,1997,111,2,211-216,OTTAWA FIELD-NATURALISTS CLUB,"PO BOX 35069, WESTGATE PO, OTTAWA ON K1Z 1A2, CANADA",NA,NA,Article
480,Castor canadensis,NA,"Wheatley, M","Beaver, Castor canadensis, home range size and patterns of use in the taiga of southeastern Manitoba .3. Habitat variation",Canadian Field-Naturalist,1997,111,2,204-210,OTTAWA FIELD-NATURALISTS CLUB,"PO BOX 35069, WESTGATE PO, OTTAWA ON K1Z 1A2, CANADA",0008-3550,NA,Article
485,Lynx rufus,NA,"Rolley, R. E.","Behavior and population dynamics of bobcats in Oklahoma Unpubl PhD Diss Oklahoma State University, Stillwater, Oklahoma 98 pp.",NA,1983,NA,NA,NA,NA,NA,NA,https://shareok.org/bitstream/handle/11244/19427/Thesis-1983D-R752b.pdf?sequence=1,PhDThesis
496,Lagothrix lagothricha,NA,"Zarate, DA; Stevenson, PR",Behavioral Ecology and Interindividual Distance of Woolly Monkeys (Lagothrix lagothricha) in a Rainforest Fragment in Colombia,NA,2014,39,NA,227-245,SPRINGER,"233 SPRING STREET, NEW YORK, NY 10013, UNITED STATES",NA,10.1007/978-1-4939-0697-0\_13,BookChapter
515,Procyon cancrivorus,NA,"CARRILLO, E; VAUGHAN, C","BEHAVIORAL-CHANGE IN PROCYON SPP (CARNIVORA, PROCYONIDAE) CAUSED BY TOURIST VISITATION IN A COSTA-RICAN WILDLIFE AREA",Revista De Biologia Tropical,1993,41,3B,843-848,REVISTA DE BIOLOGIA TROPICAL,"UNIVERSIDAD DE COSTA RICA CIUDAD UNIVERSITARIA, SAN JOSE, COSTA RICA",0034-7744,NA,Article
528,Proteles cristata,NA,"Marneweck, D; Cameron, EZ; Ganswindt, A; Dalerum, F",Behavioural and endocrine correlates to the aardwolf mating system,Mammalian Biology,2015,80,1,31-38,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",1616-5047,10.1016/j.mambio.2014.08.001,Article
529,Lynx lynx,NA,"Schmidt, K",Behavioural and spatial adaptation of the Eurasian lynx to a decline in prey availability,Acta Theriologica,2008,53,1,Jan/16,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",0001-7051,10.1007/BF03194274,Article
543,Dama dama,NA,"Ciuti, S; De Cena, F; Bongi, P; Apollonio, M",Benefits of a risky life for fallow deer bucks (Dama dama) aspiring to patrol a lek territory,Behaviour,2011,148,4,435-460,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS",0005-7959,10.1163/000579511X563981,Article
551,Neotoma fuscipes,NA,"Sakai, HF; Noon, BR",Between-habitat movement of dusky-footed woodrats and vulnerability to predation,Journal Of Wildlife Management,1997,61,2,343-350,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3802590,Article
555,Dromiciops gliroides,NA,"Salazar, DA; Fonturbel, FE",Beyond habitat structure: Landscape heterogeneity explains the monito del monte (Dromiciops gliroides) occurrence and behavior at habitats dominated by exotic trees,Integrative Zoology,2016,11,5,413-421,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1749-4877,10.1111/1749-4877.12198,Article
561,Sciurus niger,avicennia,"Kellam, JO; Jansen, DK; Johnson, AT; Arwood, RW; Merrick, MJ; Koprowski, JL",Big Cypress fox squirrel (Sciurus niger avicennia) ecology and habitat use in a cypress dome swamp-pine forest mosaic,Journal Of Mammalogy,2016,97,1,200-210,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1093/jmammal/gyv170,Article
563,Ovis canadensis,californiana,"Bissonette, JA; Steinkamp, MJ",Bighorn sheep response to ephemeral habitat fragmentation by cattle,Great Basin Naturalist,1996,56,4,319-325,BRIGHAM YOUNG UNIV,"290 LIFE SCIENCE MUSEUM, PROVO, UT 84602",0017-3614,NA,Article
579,Pan troglodytes,verus,"Lehmann, J; Boesch, C",Bisexually bonded ranging in chimpanzees (Pan troglodytes verus),Behavioral Ecology And Sociobiology,2005,57,6,525-535,SPRINGER,"233 SPRING STREET, NEW YORK, NY 10013 USA",0340-5443,10.1007/s00265-004-0891-5,Article
585,Ursus americanus,NA,"Lee, DJ; Vaughan, MR",Black bear family breakup in Western Virginia,Northeastern Naturalist,2004,11,2,111-122,HUMBOLDT FIELD RESEARCH INST,"PO BOX 9, STEUBEN, ME 04680-0009 USA",1092-6194,10.1656/1092-6194(2004)011[0111:BBFBIW]2.0.CO;2,Article
586,Ursus americanus,NA,"Koehler, GM; Pierce, DJ","Black bear home-range sizes in Washington: Climatic, vegetative, and social influences",Journal Of Mammalogy,2003,84,1,81-91,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1644/1545-1542(2003)084<0081:BBHRSI>2.0.CO;2,Article
590,Ursus americanus,NA,"Chaulk, K; Bondrup-Nielsen, S; Harrington, F","Black Bear, Ursus americanus, ecology on the northeast coast of Labrador",Canadian Field-Naturalist,2005,119,2,164-174,OTTAWA FIELD-NATURALISTS CLUB,"PO BOX 35069, WESTGATE PO, OTTAWA, ONTARIO K1Z 1A2, CANADA",0008-3550,10.22621/cfn.v119i2.101,Article
594,Herpestes flavescens,nigratus,"Rathbun, GB; Cowley, T; Zapke, O",Black mongoose (Galerella nigrata) home range and social behaviour affected by abundant food at an antelope carcass,African Zoology,2005,40,1,154-157,ZOOLOGICAL SOC SOUTHERN AFRICA,"AFRICAN ZOOLOGY CIRCULATION OFFICE, UNIV KWAZULU-NATAL, SCHOOL BIOL \&",1562-7020,NA,Article
604,Lynx rufus,NA,"Fuller, T. K., W. E. Berg, and D. W. Kuehn.",Bobcat home range size and daytime cover-type use in northcentral Minnesota Journal of Mammalogy 66:568-571.,Journal Of Mammalogy,1985,66,3,568-571,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.2307/1380938,Note
631,Odocoileus virginianus,NA,"Sullivan, JD; Ditchkoff, SS; Collier, BA; Ruth, CR; Raglin, JB",Breeding behavior of female white-tailed deer relative to conception: Evidence for female mate choice,Ecology And Evolution,2017,7,7,2395-2402,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",2045-7758,10.1002/ece3.2845,Article
636,Erethizon dorsatum,NA,"Sweitzer, RA",Breeding movements and reproductive activities of porcupines in the Great Basin Desert,Western North American Naturalist,2003,63,1,01/Oct,BRIGHAM YOUNG UNIV,"290 LIFE SCIENCE MUSEUM, PROVO, UT 84602 USA",1527-0904,NA,Article
649,Bathyergus janetta,NA,"Herbst, M; Bennett, NC",Burrow architecture and burrowing dynamics of the endangered Namaqua dune mole rat (Bathyergus janetta) (Rodentia : Bathyergidae),Journal Of Zoology,2006,270,3,420-428,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1111/j.1469-7998.2006.00151.x,Article
731,Apodemus sylvaticus,NA,"KORN, H",CHANGES IN HOME RANGE SIZE DURING GROWTH AND MATURATION OF THE WOOD MOUSE (APODEMUS-SYLVATICUS) AND THE BANK VOLE (CLETHRIONOMYS-GLAREOLUS),Oecologia,1986,68,4,623-628,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0029-8549,10.1007/BF00378782,Article
732,Macaca mulatta,NA,"PIRTA, RS; SINGH, M",CHANGES IN HOME RANGES OF RHESUS-MONKEY (MACACA-MULATTA) GROUPS LIVING IN NATURAL HABITATS,Proceedings Of The Indian Academy Of Sciences-Animal Sciences,1980,89,6,515-525,INDIAN ACADEMY SCIENCES,"P B 8005 C V RAMAN AVENUE, BANGALORE 560 080, INDIA",0370-0097,10.1007/BF03179049,Article
743,Puma concolor,NA,"Logan, K. A., L. L. Irwin, and R. Skinner.",Characteristics of a hunted mountain lion population in Wyoming Journal of Wildlife Management 50:648-654.,Journal Of Wildlife Management,1986,50,4,648-654,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3800975,Article
747,Lynx canadensis,NA,"POOLE, KG",CHARACTERISTICS OF AN UNHARVESTED LYNX POPULATION DURING A SNOWSHOE HARE DECLINE,Journal Of Wildlife Management,1994,58,4,608-618,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3809673,Article
756,Alces alces,NA,"Heikkila, R; Nygren, K; Harkonen, S; Mykkanen, A",Characteristics of habitats used by a female moose in the managed forest area,Acta Theriologica,1996,41,3,321-326,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",0001-7051,10.4098/AT.arch.96-30,Article
769,Loxodonta africana,NA,"Wall, J; Wittemyer, G; Klinkenberg, B; Lemay, V; Douglas-Hamilton, I","Characterizing properties and drivers of long distance movements by elephants (Loxodonta africana) in the Gourma, Mali",Biological Conservation,2013,157,NA,60-68,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0006-3207,10.1016/j.biocon.2012.07.019,Article
780,Pan troglodytes,NA,"Green, SJ; Boruff, BJ; Niyigaba, P; Ndikubwimana, I; Grueter, CC",Chimpanzee ranging responses to fruit availability in a high-elevation environment,American Journal Of Primatology,2020,82,5,NA,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0275-2565,10.1002/ajp.23119,Article
800,Puma concolor,NA,"Stoner, DC; Sexton, JO; Choate, DM; Nagol, J; Bernales, HH; Sims, SA; Ironside, KE; Longshore, KM; Edwards, TC",Climatically driven changes in primary production propagate through trophic levels,Global Change Biology,2018,24,10,4453-4463,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1354-1013,10.1111/gcb.14364,Article
825,Dipodomys elator,NA,"Roberts, J. D., and R. L. Packard.","Comments on movements, home range and ecology of the texas kangaroo rat, Dipodomys elator Merriam Journal of Mammalogy 54:957-962.",Journal Of Mammalogy,1973,54,4,957--962,JSTOR,NA,NA,10.2307/1379090,Article
827,Syconycteris australis,NA,"Law, BS; Lean, M",Common blossom bats (Syconycteris australis) as pollinators in fragmented Australian tropical rainforest,Biological Conservation,1999,91,02/Mar,201-212,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0006-3207,10.1016/S0006-3207(99)00078-6,Article
835,Sus scrofa,NA,"Keuling, O; Stier, N; Roth, M","Commuting, shifting or remaining? Different spatial utilisation patterns of wild boar Sus scrofa L. in forest and field crops during summer",Mammalian Biology,2009,74,2,145--152,Elsevier,NA,NA,10.1016/j.mambio.2008.05.007,Article
845,Apodemus sylvaticus,NA,"CANOVA, L; MAISTRELLO, L; EMILIANI, D",COMPARATIVE ECOLOGY OF THE WOOD MOUSE APODEMUS-SYLVATICUS IN 2 DIFFERING HABITATS,Zeitschrift Fur Saugetierkunde-International Journal Of Mammalian,1994,59,4,193-198,GUSTAV FISCHER VERLAG JENA,"VILLENGANG 2, D-07745 JENA, GERMANY",0044-3468,NA,Article
869,Procyon lotor,NA,"Shirer, H. W., and H. S. Fitch.","Comparison from radiotracking of movements and denning habits of the raccoon, striped skunk, and opossum in northeastern Kansas Journal of Mammalogy 51:491-503.",Journal Of Mammalogy,1970,51,3,491--503,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence~…",NA,NA,10.2307/1378389,Article
